nombre;sexe;annee;prenoms;nombre_total_cumule
5;M;2021;Jed;5
5;M;2012;Achraf;5
10;M;2014;Mayeul;10
48;F;2012;Alicia;48
6;M;2014;Mory;6
6;M;2012;Amos;6
27;F;2012;Ana;27
102;F;2014;Nina;102
24;M;2012;Anas;24
6;F;2012;Angélina;6
6;F;2014;Patricia;6
13;F;2014;Philomène;13
38;F;2012;Assia;38
7;F;2014;Shana;7
30;M;2014;Stanislas;30
8;M;2012;Aymane;8
5;M;2012;Bogdan;5
5;F;2015;Aissatou;5
82;M;2012;Camille;82
75;F;2012;Capucine;75
5;F;2015;Alima;5
6;M;2015;Alon;6
7;M;2012;Constant;7
9;F;2015;Anita;9
5;M;2012;Edward;5
43;F;2012;Elena;43
25;F;2015;Brune;25
5;M;2012;Éliot;5
7;F;2015;Carolina;7
